cep_inicial;cep_final
58483000;58484999
53600000;53689999
65590000;65599999
65288000;65288999
65783000;65784999
65370000;65377999
73820000;74000000
8223000;8270969
5576000;5576999
92510001;92539999
4388000;4399969
76948000;76948999
37940000;37944999
57970000;57970999
99525000;99527999
29670000;29679999
69925000;69925999
11930000;11939969
89172000;89175999
46970000;46979999
63260000;63269999
47350000;47399999
39728000;39729999
77353000;77359999
77640000;77644999
57000000;57099999
16230000;16239999
11086170;11086170
48890000;48894999
99360000;99369999
21211000;21215999
89535000;89539999
11432526;11432554
42841577;42842999
63780000;63799999
63600000;63604999
61890000;61899999
12380000;12399999
88590000;88597999
13055000;13055999
11432331;11432349
9830000;9832999
13730000;13759999
3700000;3799999
58388000;58389999
99290000;99299999
35780000;35784999
69932000;69932000
45820001;45833999
35940000;35949999
11950000;11954969
11920000;11924999
16300000;16309999
38270000;38279999
88350001;88359999
85148000;85149999
88420000;88429999
85940000;85944999
64490000;64494999
64985000;64989999
64745000;64747999
64400000;64409999
64190000;64199999
55920000;55929999
48705000;48709999
89835000;89836999
35470000;35472999
96930000;96949999
11086506;11086509
49790000;49799999
61600000;61605599
36640000;36642999
36963000;36965999
11330040;11330060
14140000;14149969
68475000;68479999
28651000;28654999
64451000;64452999
11442185;11442195
96439000;96439000
61900000;61939999
41300019;41300019
88160000;88179999
89247000;89247999
35138000;35139999
88360000;88369999
36240000;36247999
11717551;11717899
11085700;11085750
99580000;99584999
78490000;78490999
38625000;38629999
69631000;69639999
65922000;65922999
55665000;55669999
95735000;95739999
57160000;57179999
36130000;36131999
64120000;64120999
65590000;65599999
16660000;16669999
2545000;2555999
55800000;55804999
64530000;64534999
79231000;79259999
89878000;89878999
88700001;88709999
62900000;62909999
15785000;15789999
45638000;45639999
69500000;69509999
65210000;65212999
37310000;37329999
45390000;45399999
97500000;97537999
11350470;11350530
45365000;45369999
99430000;99434999
58720000;58722999
87540000;87544999
35789000;35799999
18580000;18589999
64150000;64154999
62790000;62794999
58330000;58333999
58823000;58823999
58238000;58239999
58387000;58387999
65570000;65577999
65295000;65298999
65276000;65277999
28960000;28969999
2600000;2699999
3582000;3599999
13445000;13449999
22733000;22739999
11630000;11630000
38730000;38734999
39980000;39989999
59730000;59739999
57890000;57890999
86850000;86854999
99870000;99877999
57740000;57740999
68385000;68387999
19600000;19639999
56760000;56779999
58880000;58883999
49320000;49349999
39240000;39242999
35265000;35269999
89859000;89859999
86200000;86209999
77693000;77694999
77330000;77349999
77840000;77844999
75913970;75969999
78140001;78164999
14670000;14679969
9953000;9960969
28178000;28178970
29930000;29949999
98960000;98969999
25880000;25880970
89638000;89639999
61880000;61889999
5529000;5529999
14900000;14909999
9300000;9399999
42841576;42841576
15990000;15999999
79750000;79750999
67000000;67199999
8040000;8041700
83700001;83729999
57570000;57570999
64873000;64874999
36880000;36889550
39825000;39826999
12820000;12829999
65585000;65589999
64375000;64377999
64320000;64324999
64688000;64689999
64970000;64974999
64700000;64704999
95275000;95279999
55810000;55819999
89400000;89419999
95965000;95966999
88740000;88744999
88862000;88864999
85708000;85709999
37778000;37779999
98360000;98367999
37586000;37587999
48490000;48499999
11085691;11085691
86700000;86719999
88395000;88399999
45443000;45444999
55760000;55764999
88745000;88749999
68300000;68329999
8200000;8219969
39400000;39422999
95935000;95936999
59507000;59507999
68638000;68638000
57625000;57629999
55290001;55304999
89871000;89871999
57635000;57639999
77390000;77394999
57280000;57289999
35820000;35829999
88750000;88759999
65288000;65288999
95790000;95792999
38500000;38509999
36746000;36749999
55515000;55519999
65900001;65919999
17930000;17939999
68655000;68657999
97960000;97969999
68560000;68564999
88820000;88827999
89830000;89831999
15240000;15249999
18870000;18889999
57700000;57719999
44715000;44717999
15860000;15867999
97210000;97219999
39547000;39549999
86430000;86449999
95538000;95539999
11365110;11365130
62738000;62739999
39518000;39519999
68680000;68684999
83190000;83199999
37588000;37588999
58487000;58488999
39188000;39189999
29640000;29644999
58380000;58381999
25200000;25299999
13715000;13719999
80000000;82999999
11365669;11365700
5700000;5799999
21000000;21099999
35628000;35629999
89677000;89679999
89294000;89294999
22251000;22299999
3195000;3195999
27000000;27099999
13000000;13139999
62115000;62119999
86170000;86179999
58340000;58341999
15265000;15269999
42820972;42824999
89194000;89195999
70000001;72799999
11355300;11355420
59190000;59191999
4600000;4699969
79470000;79470971
37511000;37511999
36255000;36259999
68545000;68547999
89200001;89239999
44550000;44550999
98780001;98799999
99640000;99644999
17730000;17739999
57230000;57239999
9793000;9799999
35543000;35543999
11088071;11088089
11443600;11443600
3977000;3999969
62810000;62814999
62755000;62759999
62180000;62183999
3579000;3581999
24800000;24889999
9200000;9229999
3500000;3560999
85640000;85649999
35193000;35193999
40800163;40800164
64782000;64782999
65919051;65919999
79240000;79240999
2557000;2648999
96875000;96877999
48450000;48454999
3581110;3581160
16801000;16849999
11350320;11350320
65150000;65152999
58590000;58594999
64514000;64515999
35544000;35544999
35604000;35605999
63340000;63359999
87760000;87769999
39895000;39899999
50800000;50899999
35540000;35542999
55535000;55539999
11462596;11462629
98175000;98179999
65393000;65417999
11461441;11461459
98400000;98409999
36212000;36212999
29395000;29397999
58928000;58929999
78195000;78195999
89640000;89641999
88130001;88139999
98760000;98764999
35830000;35844999
44920000;44924999
68390000;68397999
56380000;56394999
77725000;77729999
34019000;34019999
88320000;88329999
89480000;89489999
96178000;96179999
35280000;35289999
68734000;68737999
53000001;53399999
68798000;68799999
38800000;38804999
11442170;11442170
15220000;15224999
59370000;59373999
64438000;64439999
15260000;15264999
11470000;11470010
36227000;36229999
58378000;58379999
89245000;89246999
62620000;62629999
68790000;68790999
95980000;95984999
19930000;19939999
95185000;95189999
87270000;87279999
14840000;14840000
46000000;46099999
65495000;65499999
59775000;59779999
98170000;98174999
